date,home_team,away_team,home_goals,away_goals
2023-05-25,Manchester United,Chelsea,4,1
2022-10-22,Chelsea,Manchester United,1,1
2022-04-28,Manchester United,Chelsea,1,1
2021-11-28,Chelsea,Manchester United,1,1
2021-02-28,Chelsea,Manchester United,0,0
2020-10-24,Manchester United,Chelsea,0,0
2020-07-19,Chelsea,Manchester United,1,3
2019-10-30,Manchester United,Chelsea,4,0
2023-08-14,Manchester United,Wolves,1,0
2023-08-19,Tottenham,Manchester United,2,0
2023-08-26,Nottingham Forest,Manchester United,2,3
2023-09-03,Arsenal,Manchester United,3,1
2023-08-13,Chelsea,Liverpool,1,1
2023-08-20,West Ham,Chelsea,1,3
2023-08-25,Chelsea,Luton Town,3,0
2023-09-02,Bournemouth,Chelsea,0,0
2023-09-17,Chelsea,Nottingham Forest,0,1
